id,user_id,gender,generation,classification_type,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,total,level,mental,physical,life,society,created_at,updated_at
60001,214,,,ver1,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,,,700,5,280,280,70,70,2021/4/21 18:04,2021/4/21 18:04
60002,204,,,ver1,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,10,40,10,40,,,700,5,100,100,250,250,2021/4/21 18:51,2021/4/21 18:52
60003,204,,,ver1,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,30,20,30,40,10,40,10,40,10,40,10,40,10,,,710,5,120,130,220,240,2021/4/21 18:53,2021/4/21 18:53
60004,204,,,ver1,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,,,700,5,280,280,70,70,2021/4/21 18:54,2021/4/21 18:54
60005,204,,,ver1,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,,,700,5,210,210,140,140,2021/4/21 18:56,2021/4/21 18:56
60006,204,,,ver1,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,,,700,5,140,140,210,210,2021/4/21 18:58,2021/4/21 18:58
60007,204,,,ver1,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,,,700,5,140,140,210,210,2021/4/21 19:38,2021/4/21 19:38
60008,204,,,ver1,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,,,700,5,210,210,140,140,2021/4/21 19:59,2021/4/21 19:59
60009,204,,,ver1,40,10,10,40,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,,,700,5,220,190,140,150,2021/4/21 21:07,2021/4/21 21:20
60010,204,,,ver1,40,10,30,20,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,,,700,5,80,70,280,270,2021/4/21 22:21,2021/4/21 22:21
60011,204,,,ver1,40,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,,,710,5,140,140,210,220,2021/4/21 22:22,2021/4/21 22:26
60012,,,,ver1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,40,10,10,10,10,,,310,2,100,70,70,70,2021/4/22 0:02,2021/4/22 0:02
60013,204,,,ver1,30,20,40,10,40,30,40,10,40,20,40,40,40,10,40,40,40,20,30,40,40,40,40,40,40,40,40,40,,,940,7,220,180,280,260,2021/4/22 7:22,2021/4/22 7:22
60014,204,,,ver1,20,40,40,40,40,40,40,40,40,30,40,40,10,10,40,40,40,10,40,30,40,40,40,40,40,20,40,20,,,950,7,250,190,250,260,2021/4/22 7:24,2021/4/22 7:24
60015,204,,,ver1,20,40,40,40,40,30,40,20,40,20,40,40,40,40,40,40,40,10,30,40,40,40,40,40,40,20,40,20,,,970,7,240,200,280,250,2021/4/22 9:38,2021/4/22 9:38
60016,204,,,ver1,30,40,40,40,40,30,40,30,40,30,40,40,10,10,40,40,40,20,30,20,40,40,40,40,40,30,40,30,,,950,7,240,200,250,260,2021/4/22 13:18,2021/4/22 13:18
60017,204,,,ver1,20,40,40,40,40,40,40,40,40,30,40,40,10,20,40,30,40,30,40,40,40,40,40,40,40,30,40,30,,,1000,7,260,230,250,260,2021/4/22 17:52,2021/4/22 17:53
60018,204,,,ver1,20,40,40,40,40,30,40,30,40,20,40,40,20,10,40,30,40,30,30,40,40,40,40,40,40,30,40,30,,,960,7,250,200,260,250,2021/4/22 19:26,2021/4/22 19:27
60019,204,,,ver1,20,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,,,690,5,140,140,210,200,2021/4/22 20:24,2021/4/22 20:25
60020,204,,,ver1,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,20,30,,,700,5,210,210,140,140,2021/4/22 20:25,2021/4/22 20:25
60021,204,,,ver1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,560,4,140,140,140,140,2021/4/22 20:27,2021/4/22 20:27
60022,204,,,ver1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,560,4,140,140,140,140,2021/4/23 11:16,2021/4/23 11:16
60023,204,,,ver1,10,20,10,20,10,20,10,20,10,20,10,20,10,20,10,20,10,20,10,20,10,20,10,20,10,20,10,20,,,420,3,140,140,70,70,2021/4/23 11:17,2021/4/23 11:17
60024,204,,,ver1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,10,10,,,340,2,80,90,80,90,2021/4/23 12:19,2021/4/23 12:19
60025,204,,,ver1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,280,1,70,70,70,70,2021/4/23 15:46,2021/4/23 15:46
60026,204,,,ver1,40,30,40,30,40,30,40,30,40,30,40,30,40,30,40,30,40,30,40,30,40,30,40,30,40,30,40,30,,,980,7,210,210,280,280,2021/4/23 15:47,2021/4/23 15:47
60027,204,,,ver1,40,30,30,30,40,30,30,30,40,30,30,30,40,30,30,30,40,30,40,30,30,30,30,30,40,30,30,30,,,910,7,210,210,250,240,2021/4/23 15:49,2021/4/23 15:49
60028,204,,,ver1,40,30,30,30,40,30,30,30,40,30,30,30,40,30,30,30,40,30,40,30,30,30,30,30,40,30,30,30,,,910,7,210,210,250,240,2021/4/23 15:49,2021/4/23 15:49
60029,204,,,ver1,40,30,30,30,30,30,40,30,30,30,30,30,30,30,40,30,30,30,30,30,30,30,40,30,30,30,30,30,,,880,6,210,210,220,240,2021/4/23 15:49,2021/4/23 15:49
60030,204,,,ver1,40,40,40,40,40,40,40,30,40,40,40,40,20,30,40,40,40,30,30,30,40,30,40,40,40,40,40,40,,,1040,8,260,250,260,270,2021/4/27 7:47,2021/4/27 7:49
60031,214,,,ver1,10,30,30,10,40,20,30,30,10,40,10,40,10,40,10,30,30,10,30,30,10,40,10,40,10,40,10,30,,,680,5,210,220,140,110,2021/4/28 17:12,2021/4/28 17:12
60032,204,,,ver1,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,40,40,40,40,30,30,30,30,30,30,40,40,,,980,7,250,240,250,240,2021/4/29 14:08,2021/4/29 14:10
60033,,,,ver1,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,,,700,5,280,280,70,70,2021/4/29 16:14,2021/4/29 16:14
60034,204,,,ver1,20,40,30,40,30,20,40,10,10,40,30,40,10,20,10,40,40,10,30,40,30,20,40,40,40,30,40,30,,,820,6,240,180,200,200,2021/4/30 15:35,2021/4/30 15:36
60035,204,,,ver1,10,40,30,40,30,20,40,10,10,40,30,40,10,30,10,30,40,10,30,40,30,30,40,40,40,30,40,40,,,830,6,240,200,200,190,2021/4/30 15:40,2021/4/30 15:40
60036,204,,,ver1,10,40,40,40,40,30,40,30,40,40,40,40,10,20,40,40,40,10,30,40,30,30,40,40,40,30,40,20,,,930,7,250,200,240,240,2021/5/1 15:39,2021/5/1 15:40
60037,204,,,ver1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,280,1,70,70,70,70,2021/5/1 15:43,2021/5/1 15:43
60038,204,,,ver1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,280,1,70,70,70,70,2021/5/1 15:46,2021/5/1 15:46
60039,,,,ver1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,280,1,70,70,70,70,2021/5/1 16:29,2021/5/1 16:29
60040,,,,ver1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,10,20,20,20,20,20,10,10,20,20,,,370,2,110,90,90,80,2021/5/1 17:09,2021/5/1 17:09
